FID,FID_1,FID_1_1,FID_1_1_1,ObjectID,Name,FacilityTy,Weight,Capacity,DemandCoun,DemandWeig,SourceID,SourceOID,PosAlong,SideOfEdge,CurbApproa,Status,Total_长度,TotalWeigh,OBJECTID_1,OBJECTID_2,ObjectID_3,地址,名称,维度,经度,类型,OBJECTID_4,OID_1,Count_,Sum_OBJECT,Shape_Leng,Shape_Area,距离,FID_2,OID_1_1,Shape_Le_1,Shape_Ar_1,Count__1,Sum_ID,Sum_lat,Sum_lon,total,max,FID_3,OID_1_2,Shape_Le_2,Shape_Ar_2,Count__2,Sum_ID_1,Sum_lat_1,Sum_lon_1,chu_jin,CHU_JIN_F,距离_1
22,22,395,390,899,位置 899,3,151.000000000000000,0.000000000000000,118,118.000000000000000,1,472,0.433886473221000,1,0,0,14452.019939500000000,14452.019939500000000,899,3244,3244,游府西街12号,南京市游府西街小学(西南门),32.040483389999999,118.785890900000000,小学,82,135,187,14182083,0.007999999999700,0.000004000000000,0.000000000000000,81,135,0.007999999999700,0.000004000000000,6,102610800,192.236924130000010,712.717995050000010,111,14,81,135,0.007999999999700,0.000004000000000,2,513057652,64.078417939999994,237.574341280000000,-4,3,0.000000000000000
49,49,25,25,69,位置 69,3,135.000000000000000,0.000000000000000,113,113.000000000000000,1,2092,0.767101540208000,1,0,0,41093.086334300002000,41093.086334300002000,68,165,165, ,新街口·正洪街(公交站),32.040669809999997,118.782408700000000,公交站,125,182,110,14098511,0.007999999999810,0.000004000000000,0.000000000000000,124,182,0.007999999999810,0.000004000000000,4,512520303,128.164765759999990,475.126961960000020,107,20,124,182,0.007999999999810,0.000004000000000,3,769550647,96.124260190000001,356.345997850000000,-1,3,0.000000000000000
50,50,408,403,937,位置 937,3,84.000000000000000,0.000000000000000,35,35.000000000000000,1,1198,0.305210315970000,1,0,0,1588.244576840000000,1588.244576840000000,937,3241,3241,蔡家花园5-2号附近,南京市游府西街小学(东北1门),32.041393100000001,118.785532300000000,小学,127,184,71,7468551,0.007999999999810,0.000004000000000,0.000000000000000,126,184,0.007999999999810,0.000004000000000,5,473395282,160.207614900000010,593.932579189999960,98,13,126,184,0.007999999999810,0.000004000000000,2,473395282,64.082783699999993,237.572602999999990,-3,2,0.000000000000000
51,51,409,404,944,位置 944,3,108.000000000000000,0.000000000000000,192,192.000000000000000,1,506,0.778755989654000,2,0,0,30436.287584999998000,30436.287584999998000,944,2931,2931,延龄巷与祠堂巷交叉口西50米,祠堂巷小区(西南门),32.041918660000000,118.787291999999990,小区,128,185,80,11247752,0.008000000000040,0.000004000000000,0.000000000000000,127,185,0.008000000000040,0.000004000000000,6,0,192.250551739999990,712.729807909999980,118,16,127,185,0.008000000000040,0.000004000000000,1,256538044,32.040950719999998,118.789051430000000,-5,5,0.000000000000000
81,81,40,40,103,位置 103,3,124.000000000000000,0.000000000000000,91,91.000000000000000,1,8356,0.677235679707000,2,0,0,21030.035662900002000,21030.035662900002000,103,121,121, ,新街口东(公交站),32.043569460000001,118.781621300000000,公交站,169,231,126,15493786,0.008000000000040,0.000004000000000,0.000000000000000,168,231,0.008000000000040,0.000004000000000,5,769660979,160.217640679999990,593.910218470000020,90,15,168,231,0.008000000000040,0.000004000000000,3,769652255,96.130747869999993,356.343910489999980,-2,3,0.000000000000000
82,82,41,41,104,位置 104,3,216.000000000000000,0.000000000000000,149,149.000000000000000,1,2576,0.329783295614000,2,0,0,35790.093985599997000,35790.093985599997000,104,140,140, ,大行宫西(公交站),32.043207099999997,118.787398100000000,公交站,172,234,244,39421519,0.008000000000270,0.000004000000000,0.000000000000000,171,234,0.008000000000270,0.000004000000000,2,0,64.086953249999993,237.576589630000000,119,19,171,234,0.008000000000270,0.000004000000000,2,512599013,64.086041300000005,237.576985689999990,0,9,0.000000000000000
104,104,54,53,138,位置 138,3,93.000000000000000,0.000000000000000,63,63.000000000000000,1,8355,0.485150759244000,2,0,0,23248.190589900001000,23248.190589900001000,138,106,106, ,青石街(公交站),32.045276639999997,118.783027200000010,公交站,213,280,36,5035955,0.007999999999810,0.000004000000000,0.000000000000000,212,280,0.007999999999810,0.000004000000000,7,769090601,224.320645960000010,831.479767990000030,112,12,212,280,0.007999999999810,0.000004000000000,3,769090601,96.136984679999998,356.349294419999980,-4,7,0.000000000000000
105,105,434,430,1018,位置 1018,3,93.000000000000000,0.000000000000000,238,238.000000000000000,1,1199,0.634114476294000,1,0,0,20577.700986000000000,20577.700986000000000,1018,3400,3400,青石街18号附近,南京市青石街小学(西南门),32.045359849999997,118.781609100000000,小学,213,280,36,5035955,0.007999999999810,0.000004000000000,0.000000000000000,212,280,0.007999999999810,0.000004000000000,7,769090601,224.320645960000010,831.479767990000030,112,12,212,280,0.007999999999810,0.000004000000000,3,769090601,96.136984679999998,356.349294419999980,-4,7,0.000000000000000
106,106,435,431,1019,位置 1019,3,86.000000000000000,0.000000000000000,308,308.000000000000000,1,1197,0.613980337474000,1,0,0,72108.890201200004000,72108.890201200004000,1019,3238,3238,邓府巷19号2室附近,南京市长江路小学幼儿园(西门),32.045005770000003,118.785423800000000,小学,215,282,25,2292939,0.007999999999810,0.000004000000000,0.000000000000000,214,282,0.007999999999810,0.000004000000000,1,256558702,32.045625319999999,118.786103970000000,83,11,214,282,0.007999999999810,0.000004000000000,5,128260755,160.229316450000000,593.929250669999990,4,4,0.000000000000000
128,128,68,67,158,位置 158,3,150.000000000000000,0.000000000000000,341,341.000000000000000,1,2878,0.282802761984000,1,0,0,64455.118503600002000,64455.118503600002000,158,86,86, ,长江路·估衣廊(公交站),32.047258790000001,118.782018500000010,公交站,256,329,145,24915135,0.008000000000040,0.000004000000000,0.000000000000000,255,329,0.008000000000040,0.000004000000000,5,512548335,160.237345670000000,593.910102449999950,119,14,255,329,0.008000000000040,0.000004000000000,2,512575076,64.095384400000000,237.563559500000000,-3,6,0.000000000000000
