0,地址,名称,维度,经度,类型
1,,湖北路南(公交站),32.06498959442234,118.77505773720469,公交站
2,,市口腔医院(公交站),32.063826689596624,118.77893073582437,公交站
3,,玄武湖公园(公交站),32.06945393086471,118.77893822666151,公交站
4,,傅厚岗(公交站),32.06572477573672,118.78113056788611,公交站
5,,中山北路·鼓楼(公交站),32.06245023570753,118.77706644284267,公交站
6,,鼓楼街(公交站),32.062472046401375,118.77599009881614,公交站
7,,中央路·鼓楼(公交站),32.0624523967514,118.77893887341347,公交站
8,,湖北路(公交站),32.06881374378808,118.77242937042699,公交站
9,,中山北路·大方巷(公交站),32.067481336718295,118.77126924471649,公交站
10,,云南路·大方巷(公交站),32.06558856410265,118.77088701924234,公交站
11,,鼓楼公园(公交站),32.06122067883802,118.77590611130286,公交站
12,,保泰街(公交站),32.06254378590084,118.78169666086163,公交站
13,,鼓楼公交总站(公交站),32.06093495792203,118.77621852203997,公交站
14,,北京东路·鼓楼(公交站),32.06046691062698,118.78055825489693,公交站
15,,童家巷(公交站),32.0735839095333,118.77638556152806,公交站
16,,丁家桥(公交站),32.07308773327184,118.77349116265796,公交站
17,,西家大塘(公交站),32.06451706946587,118.78539395205658,公交站
18,,云南路(公交站),32.06341963125543,118.76927559327274,公交站
19,,山西路(公交站),32.06953177636636,118.76905381251177,公交站
20,,北京西路·云南路(公交站),32.06111267215908,118.77098653633398,公交站
21,,鼓楼医院(公交站),32.05900761762024,118.77892317024433,公交站
22,,湖南路北(公交站),32.072650162540256,118.76985531402933,公交站
23,,北京东路·进香河路(公交站),32.06009420688694,118.7847373566504,公交站
24,,上海路·北京西路(公交站),32.059534661761326,118.769146826518,公交站
25,,傅佐路(公交站),32.06910609804804,118.7658849756695,公交站
26,,江苏路(公交站),32.066381009847774,118.7652286817335,公交站
27,,丹凤街(公交站),32.05733604100252,118.78201759886502,公交站
28,,观音里(公交站),32.07697052347258,118.77890649085012,公交站
29,,西流湾公园(公交站),32.072073924854124,118.7661209017391,公交站
30,,玄武湖台城(公交站),32.06534533413929,118.7903688829801,公交站
31,,莫干路(公交站),32.06283564469277,118.76441936024011,公交站
32,,江苏路西(公交站),32.06822588795416,118.76305182519498,公交站
33,,学府路(公交站),32.05599537162008,118.7840426876008,公交站
34,,鸡鸣寺(公交站),32.061266199547454,118.79020899030772,公交站
35,,宁海路(公交站),32.05812111325775,118.7664434690129,公交站
36,,玉泉路(公交站),32.061770789127955,118.76352577269238,公交站
37,,鸡鸣寺·玄武湖(公交站),32.059918191574155,118.78972731092041,公交站
38,,北京东路·鸡鸣寺(公交站),32.059918191574155,118.78972731092041,公交站
39,,司背后街·马台街(公交站),32.07647920790169,118.76778597211332,公交站
40,,新模范马路东(市公交集团)(公交站),32.07969703762848,118.77711090730902,公交站
41,,新模范马路东(公交站),32.079701029456764,118.77710289678757,公交站
42,,马台街(公交站),32.077337260009195,118.76762474490684,公交站
43,,中山路·珠江路北(公交站),32.053280338083525,118.77891668976845,公交站
44,,鱼市街(公交站),32.05364625060066,118.7820409723954,公交站
45,,新模范马路·青石村(公交站),32.0796228892373,118.77223015380972,公交站
46,,五台山北(公交站),32.054324113416094,118.76983398561097,公交站
47,,中山北路·虹桥(公交站),32.07424757202212,118.7636086812474,公交站
48,,玄武湖隧道(公交站),32.0806183248145,118.77892117369356,公交站
49,,南阴阳营(公交站),32.056891856289724,118.76514549085356,公交站
50,,广州路·中山路(公交站),32.0523751360855,118.77806064772427,公交站
51,,颐和路(公交站),32.06422924527424,118.7601592553581,公交站
52,,儿童医院(公交站),32.052092375841276,118.77471451965147,公交站
53,,珠江路·中山路(公交站),32.052126210009064,118.78068119425429,公交站
54,,和平公园(公交站),32.05938090708873,118.7929378308094,公交站
55,,进香河(公交站),32.05280249758073,118.78466992608413,公交站
56,,随家仓(公交站),32.05290035585021,118.76933762564262,公交站
57,,成贤街·东南大学(公交站),32.05656605821886,118.79081343980133,公交站
58,,四卫头(公交站),32.0692157440309,118.75905914789276,公交站
59,,东南大学(公交站),32.055187211024354,118.78977382359116,公交站
60,,司背后(公交站),32.07952264495317,118.76626533679023,公交站
61,,太平北路·鸡鸣寺(公交站),32.05752587287424,118.7925322957623,公交站
62,,北京东路·兰园(公交站),32.059532320593064,118.79446551154221,公交站
63,,祁家桥(公交站),32.071532130389315,118.75882980525508,公交站
64,,中山路·珠江路南(公交站),32.050216654500844,118.77891697261316,公交站
65,,东柏果园(公交站),32.08111094553383,118.76747225705189,公交站
66,,新模范马路·虹桥(公交站),32.0774323221038,118.7621813535298,公交站
67,,红庙(公交站),32.05083724287809,118.78405818593642,公交站
68,,兰园(公交站),32.058743629663645,118.79477213166415,公交站
69,,莲花桥(公交站),32.051396592045066,118.7857086457687,公交站
70,,脑科医院(公交站),32.05284309747927,118.765337021821,公交站
71,,山阴路(公交站),32.057048815604176,118.76043508933257,公交站
72,,三步两桥(公交站),32.07456095305684,118.75915070515326,公交站
73,,西康路(公交站),32.05795614720535,118.75882405791646,公交站
74,,三牌楼大街南(公交站),32.079737149581355,118.76269950567853,公交站
75,,华侨路(公交站),32.04838965051887,118.77665522237535,公交站
76,,江苏省委(公交站),32.0629229729823,118.75606022819743,公交站
77,,四牌楼(公交站),32.05263297405879,118.79134069657682,公交站
78,,浮桥西(公交站),32.05095819747895,118.78904100166815,公交站
79,,许府巷·江西路(公交站),32.08528609318347,118.77698823597396,公交站
80,,相府营(公交站),32.0486732642883,118.7836838272578,公交站
81,,青石村(公交站),32.08542699591081,118.77310758901977,公交站
82,,拉萨路(公交站),32.05042432677369,118.76502398972863,公交站
83,,许府巷(公交站),32.086047365004966,118.77882154016787,公交站
