地址,名称,维度,经度,类型
,湖北路南(公交站),32.062935,118.780266,公交站
,市口腔医院(公交站),32.061768,118.784134,公交站
,玄武湖公园(公交站),32.067394,118.784142,公交站
,傅厚岗(公交站),32.063663,118.786331,公交站
,中山北路·鼓楼(公交站),32.060394,118.782272,公交站
,鼓楼街(公交站),32.060417,118.781197,公交站
,中央路·鼓楼(公交站),32.060394,118.784142,公交站
,湖北路(公交站),32.066761,118.777641,公交站
,中山北路·大方巷(公交站),32.065430,118.776482,公交站
,云南路·大方巷(公交站),32.063538,118.776100,公交站
,鼓楼公园(公交站),32.059166,118.781113,公交站
,保泰街(公交站),32.060482,118.786896,公交站
,鼓楼公交总站(公交站),32.058880,118.781425,公交站
,北京东路·鼓楼(公交站),32.058407,118.785759,公交站
,童家巷(公交站),32.071526,118.781593,公交站
,丁家桥(公交站),32.071033,118.778702,公交站
,西家大塘(公交站),32.062450,118.790588,公交站
,云南路(公交站),32.061371,118.774490,公交站
,山西路(公交站),32.067482,118.774269,公交站
,北京西路·云南路(公交站),32.059063,118.776199,公交站
,鼓楼医院(公交站),32.056950,118.784126,公交站
,湖南路北(公交站),32.070599,118.775070,公交站
,北京东路·进香河路(公交站),32.058029,118.789932,公交站
,上海路·北京西路(公交站),32.057487,118.774361,公交站
,傅佐路(公交站),32.067059,118.771103,公交站
,江苏路(公交站),32.064335,118.770447,公交站
,丹凤街(公交站),32.055275,118.787216,公交站
,观音里(公交站),32.074909,118.784111,公交站
,西流湾公园(公交站),32.070026,118.771339,公交站
,玄武湖台城(公交站),32.063271,118.795555,公交站
,莫干路(公交站),32.060791,118.769638,公交站
,江苏路西(公交站),32.066181,118.768272,公交站
,学府路(公交站),32.053932,118.789238,公交站
,鸡鸣寺(公交站),32.059193,118.795395,公交站
,宁海路(公交站),32.056076,118.771660,公交站
,玉泉路(公交站),32.059727,118.768745,公交站
,鸡鸣寺·玄武湖(公交站),32.057846,118.794914,公交站
,北京东路·鸡鸣寺(公交站),32.057846,118.794914,公交站
,司背后街·马台街(公交站),32.074429,118.773003,公交站
,新模范马路东(市公交集团)(公交站),32.077637,118.782318,公交站
,新模范马路东(公交站),32.077641,118.782310,公交站
,马台街(公交站),32.075287,118.772842,公交站
,中山路·珠江路北(公交站),32.051224,118.784119,公交站
,鱼市街(公交站),32.051586,118.787239,公交站
,新模范马路·青石村(公交站),32.077568,118.777443,公交站
,五台山北(公交站),32.052277,118.775047,公交站
,中山北路·虹桥(公交站),32.072201,118.768829,公交站
,玄武湖隧道(公交站),32.078556,118.784126,公交站
,南阴阳营(公交站),32.054848,118.770363,公交站
,广州路·中山路(公交站),32.050320,118.783264,公交站
,颐和路(公交站),32.062187,118.765381,公交站
,儿童医院(公交站),32.050041,118.779922,公交站
,珠江路·中山路(公交站),32.050068,118.785881,公交站
,和平公园(公交站),32.057304,118.798119,公交站
,进香河(公交站),32.050739,118.789864,公交站
,随家仓(公交站),32.050854,118.774551,公交站
,成贤街·东南大学(公交站),32.054493,118.795998,公交站
,四卫头(公交站),32.067173,118.764282,公交站
,东南大学(公交站),32.053116,118.794960,公交站
,司背后(公交站),32.077473,118.771484,公交站
,太平北路·鸡鸣寺(公交站),32.055450,118.797714,公交站
,北京东路·兰园(公交站),32.057453,118.799644,公交站
,祁家桥(公交站),32.069489,118.764053,公交站
,中山路·珠江路南(公交站),32.048161,118.784119,公交站
,东柏果园(公交站),32.079060,118.772690,公交站
,新模范马路·虹桥(公交站),32.075386,118.767403,公交站
,红庙(公交站),32.048775,118.789253,公交站
,兰园(公交站),32.056664,118.799950,公交站
,莲花桥(公交站),32.049332,118.790901,公交站
,脑科医院(公交站),32.050800,118.770554,公交站
,山阴路(公交站),32.055008,118.765656,公交站
,三步两桥(公交站),32.072517,118.764374,公交站
,西康路(公交站),32.055916,118.764046,公交站
,三牌楼大街南(公交站),32.077690,118.767921,公交站
,华侨路(公交站),32.046337,118.781860,公交站
,江苏省委(公交站),32.060883,118.761284,公交站
,四牌楼(公交站),32.050560,118.796524,公交站
,浮桥西(公交站),32.048889,118.794228,公交站
,许府巷·江西路(公交站),32.083225,118.782196,公交站
,相府营(公交站),32.046612,118.788879,公交站
,青石村(公交站),32.083370,118.778320,公交站
,拉萨路(公交站),32.048382,118.770241,公交站
,许府巷(公交站),32.083984,118.784027,公交站
,五台山(公交站),32.045467,118.776749,公交站
,永庆巷(公交站),32.046112,118.773979,公交站
,长江路·估衣廊(公交站),32.045200,118.787216,公交站
,和会街(公交站),32.079052,118.766403,公交站
,虎踞关北(公交站),32.052795,118.763161,公交站
,紫竹林(公交站),32.083485,118.774078,公交站
,四川路(公交站),32.084900,118.781700,公交站
,邮电大学(公交站),32.080578,118.767548,公交站
,玄武湖公园-观光车停靠点,32.084415,118.787902,公交站
,北京东路·九华山(公交站),32.057503,118.805092,公交站
,新街口北(公交站),32.043816,118.784126,公交站
,芦席营北(公交站),32.085304,118.780045,公交站
,北京西路·草场门(公交站),32.060867,118.758194,公交站
,水佐岗(公交站),32.071129,118.758904,公交站
,虎踞关南(公交站),32.050903,118.763641,公交站
,大锏银巷(公交站),32.044022,118.776657,公交站
,省人民医院(公交站),32.047626,118.767136,公交站
,南瑞路·紫竹林(公交站),32.084236,118.772583,公交站
,中央门南(公交站),32.085903,118.784134,公交站
,网巾市(公交站),32.044239,118.791039,公交站
,省人民医院2(公交站),32.047205,118.766385,公交站
,大行宫北(公交站),32.045708,118.795433,公交站
,青石街(公交站),32.043217,118.788223,公交站
,中山北路·三牌楼(公交站),32.078362,118.761688,公交站
,省人民医院1(公交站),32.047205,118.765881,公交站
,古平岗南(公交站),32.070248,118.757362,公交站
,牌楼巷(公交站),32.044346,118.772240,公交站
,古林公园(公交站),32.065586,118.756210,公交站
,三牌楼大街北(公交站),32.080406,118.763802,公交站
,浮桥(公交站),32.047672,118.800125,公交站
,新街口西(公交站),32.042076,118.779030,公交站
,虎踞北路·草场门(公交站),32.062431,118.755692,公交站
,黑龙江路东(公交站),32.087238,118.778221,公交站
,古平岗(公交站),32.071156,118.756317,公交站
,虎踞路·草场门(公交站),32.058563,118.756104,公交站
,汉中路·莫愁路(公交站),32.042469,118.774521,公交站
,黑龙江路(公交站),32.087112,118.775322,公交站
,新街口东(公交站),32.041512,118.786819,公交站
,太平门南(公交站),32.055897,118.808334,公交站
,金贸大街·建宁路(公交站),32.088146,118.779861,公交站
,广东路·新门口(公交站),32.084148,118.766617,公交站
,南京站·南广场东(公交站),32.084110,118.798820,公交站
,南京火车站(公交站),32.084278,118.798721,公交站
,南京站·南广场西(公交站),32.086521,118.794136,公交站
,龙蟠路·南京站东(公交站),32.081329,118.802895,公交站
,古平岗西(公交站),32.070702,118.754723,公交站
,汉中门总站(公交站),32.042995,118.768936,公交站
,清凉山公园(公交站),32.048153,118.760918,公交站
,福建路(公交站),32.083096,118.763252,公交站
,珠江路·小营(公交站),32.047173,118.802986,公交站
,福建路·萨家湾(公交站),32.081673,118.761375,公交站
,国防园(公交站),32.052921,118.756653,公交站
,新庄广场西(公交站),32.080143,118.805061,公交站
,草场门大桥东(公交站),32.059650,118.753754,公交站
,总统府·梅园新村(公交站),32.042763,118.796265,公交站
,南京图书馆(公交站),32.042004,118.794739,公交站
,大行宫西(公交站),32.041142,118.792587,公交站
,龙蟠路·南京站西(公交站),32.088341,118.791481,公交站
,中央门立交(公交站),32.089516,118.784477,公交站
,汉中路·汉中门(公交站),32.042908,118.767609,公交站
,总统府(公交站),32.042732,118.796951,公交站
,黑龙江路西(公交站),32.088173,118.772202,公交站
,汉中门(公交站),32.042896,118.767357,公交站
,镇江路(公交站),32.073616,118.754646,公交站
,新门口(公交站),32.086071,118.766830,公交站
,龙蟠中路·荷包套(公交站),32.051147,118.807671,公交站
,罗廊巷·石鼓路(公交站),32.041073,118.771324,公交站
,虎踞路·清凉山(公交站),32.047157,118.760513,公交站
,太平门(公交站),32.057346,118.811241,公交站
,中央门西(公交站),32.090092,118.781548,公交站
,新街口·石鼓路(公交站),32.039043,118.781929,公交站
,王府大街·石鼓路(公交站),32.039108,118.779770,公交站
,中央门东(公交站),32.089943,118.786224,公交站
,虎踞路·汉中门(公交站),32.043915,118.764275,公交站
,莫愁路北(公交站),32.039436,118.775230,公交站
,钟阜路(公交站),32.087841,118.768921,公交站
,新庄广场南(公交站),32.075737,118.810066,公交站
,察哈尔路(公交站),32.077282,118.755554,公交站
,钟阜路(市第二医院)(公交站),32.088242,118.769264,公交站
,金桥市场(公交站),32.090549,118.778099,公交站
,锁金村(公交站),32.071571,118.812309,公交站
,新街口·正洪街(公交站),32.038612,118.787605,公交站
,新街口(公交站),32.038612,118.787605,公交站
,玉桥商业广场(公交站),32.090984,118.780159,公交站
,大行宫东(公交站),32.040890,118.797180,公交站
,龙蟠中路·小营(公交站),32.047085,118.806381,公交站
,钟阜路·城河村(公交站),32.089703,118.771156,公交站
,石头城南(公交站),32.060668,118.750981,公交站
,萨家湾(公交站),32.081825,118.757698,公交站
,王府大街(公交站),32.037609,118.778908,公交站
,石头城路(公交站),32.064007,118.750351,公交站
,中山北路·萨家湾(公交站),32.081905,118.757607,公交站
,丁山宾馆(公交站),32.077393,118.753937,公交站
,新庄广场北(公交站),32.079414,118.809517,公交站
,虎踞南路·汉中门(公交站),32.040501,118.767014,公交站
,罗廊巷(公交站),32.039036,118.770737,公交站
,铁路北街南(公交站),32.084236,118.759857,公交站
,定淮门(公交站),32.069168,118.750366,公交站
,曹后村西(公交站),32.084663,118.804810,公交站
,龙蟠路·岗子村(公交站),32.067039,118.814934,公交站
,秣陵路(公交站),32.037262,118.776772,公交站
,中央门北(公交站),32.092247,118.785591,公交站
,新庄广场东(公交站),32.078781,118.810593,公交站
,红山南路西(公交站),32.090668,118.793976,公交站
,南京站·北广场西(公交站),32.089501,118.797460,公交站
,大行宫南(公交站),32.038436,118.793988,公交站
,凤凰街(公交站),32.042500,118.762154,公交站
,石头城北(公交站),32.065361,118.749405,公交站
,察哈尔路西(公交站),32.075542,118.751823,公交站
,南京站·北广场东(公交站),32.088501,118.799881,公交站
,新街口南(公交站),32.036392,118.784149,公交站
,城河村(公交站),32.091732,118.773308,公交站
,小红山(公交站),32.087730,118.801689,公交站
,凤凰东街·清凉门大街(公交站),32.044899,118.758232,公交站
,秣陵路东(公交站),32.036160,118.779610,公交站
,淮海路东(公交站),32.036812,118.790176,公交站
,中山东路·逸仙桥(毗卢寺)(公交站),32.040543,118.801056,公交站
,王府大街·秣陵路(公交站),32.035984,118.777901,公交站
,运盛花园(公交站),32.067253,118.748451,公交站
,黄家圩(公交站),32.091290,118.795479,公交站
,白马公园(公交站),32.058331,118.815750,公交站
,佳盛花园(公交站),32.068630,118.748543,公交站
,中山东路·逸仙桥(公交站),32.040565,118.801605,公交站
,堂子街(公交站),32.037300,118.770691,公交站
,龙蟠中路·毗卢寺(公交站),32.042503,118.805023,公交站
,龙园东路·草场门大街(公交站),32.061817,118.748016,公交站
,南医大二附院东院(公交站),32.083385,118.755905,公交站
,马标(公交站),32.045456,118.808853,公交站
,羊皮巷(公交站),32.035320,118.787094,公交站
,户部街(公交站),32.035374,118.789291,公交站
,铁路北街(公交站),32.086739,118.758789,公交站
,曹后村(公交站),32.084553,118.808563,公交站
,科巷(公交站),32.037823,118.798195,公交站
,曹后村(西)(公交站),32.084557,118.808685,公交站
,杨公井(公交站),32.035988,118.793228,公交站
,程阁老巷(公交站),32.034603,118.785583,公交站
,双门楼宾馆(公交站),32.082535,118.753845,公交站
,杨公井(八一医院)(公交站),32.035706,118.793098,公交站
,凤凰东街·北圩路(公交站),32.049778,118.751236,公交站
,清凉门大街东(公交站),32.045872,118.754097,公交站
,龙园东路·龙园南路(公交站),32.054592,118.748482,公交站
,凤凰西街(公交站),32.042797,118.757324,公交站
,板仓街·岗子村(公交站),32.067551,118.818176,公交站
,莫愁路·朝天宫(公交站),32.034870,118.774155,公交站
,朝天宫西街(公交站),32.034939,118.773079,公交站
,华严岗门站(公交站),32.074673,118.748138,公交站
,汉中门大街东(公交站),32.039646,118.761047,公交站
,王府大街·朝天宫(公交站),32.033939,118.776566,公交站
,安怀村(公交站),32.095119,118.789146,公交站
,曹后村东(公交站),32.084427,118.810715,公交站
,莫愁湖东路北(公交站),32.036194,118.766243,公交站
,西安门(公交站),32.040188,118.806038,公交站
,西安门(军区总院)(公交站),32.040188,118.806068,公交站
,虎踞南路·建邺路(公交站),32.035076,118.768921,公交站
,黄埔路·马标(公交站),32.044312,118.811058,公交站
,安怀村东(公交站),32.094849,118.793663,公交站
,小火瓦巷(公交站),32.033241,118.788826,公交站
,安怀村北(公交站),32.095795,118.790314,公交站
,民生街(公交站),32.093571,118.766525,公交站
,郑淮路·定淮门大街(公交站),32.067204,118.744797,公交站
,建邺路·止马营(公交站),32.033928,118.771416,公交站
,太平南路·常府街(公交站),32.033646,118.792412,公交站
,常府街北(公交站),32.034943,118.797104,公交站
,八一医院(公交站),32.033997,118.794220,公交站
,大桥南路总站(公交站),32.086121,118.754036,公交站
,三元巷(公交站),32.032166,118.784134,公交站
,盐仓桥广场北(公交站),32.086636,118.754257,公交站
,北圩路北(公交站),32.043697,118.752640,公交站
,清凉门大桥西(公交站),32.046192,118.750145,公交站
,建邺路(公交站),32.031834,118.777611,公交站
,黄埔路(公交站),32.041794,118.810562,公交站
,新民路(公交站),32.089970,118.757385,公交站
,龙蟠中路·逸仙桥(公交站),32.036598,118.803413,公交站
,阳光广场(公交站),32.056805,118.744255,公交站
,嫩江路北(公交站),32.047920,118.748344,公交站
,盐仓桥(公交站),32.088200,118.754379,公交站
,西华门(公交站),32.036175,118.803413,公交站
,龙江小区(公交站),32.058346,118.743500,公交站
,江南公交一公司(公交站),32.089394,118.809273,公交站
,东井亭(公交站),32.095577,118.798012,公交站
,富贵山(公交站),32.051971,118.819458,公交站
,虎踞南路·水西门(公交站),32.032558,118.769341,公交站
,盐仓桥广场西(公交站),32.086128,118.751488,公交站
,金海市场(公交站),32.093975,118.762428,公交站
,河路道(公交站),32.098480,118.784271,公交站
,五所村(公交站),32.091534,118.758003,公交站
,内桥(公交站),32.030582,118.786522,公交站
,清江花苑(公交站),32.065563,118.742104,公交站
,张府园(公交站),32.030331,118.781700,公交站
,新民门(公交站),32.090752,118.756294,公交站
,龙江花园(公交站),32.060543,118.742104,公交站
,红山南路·恒嘉路(公交站),32.084728,118.815422,公交站
,龙园西路北(公交站),32.063557,118.741592,公交站
,板仓村(公交站),32.071205,118.822495,公交站
,姜家园南(公交站),32.076344,118.743843,公交站
,迎春里(公交站),32.039494,118.754028,公交站
,莫愁新寓(公交站),32.037277,118.756996,公交站
,龙江新城市广场(公交站),32.056271,118.742363,公交站
,莫愁湖东路南(公交站),32.032036,118.766983,公交站
,汉江路东(公交站),32.049221,118.745087,公交站
