地址,名称,维度,经度,类型
芦席营19号,南昌路小学,32.075581,118.780419,学校
中央路258号(江南大厦十楼1011室),南京市公共事业技工学校,32.076606,118.784489,学校
童家巷24号,中国药科大学玄武门校区,32.07332,118.779869,学校
芦席营28号,南京市公交公司职工学校,32.075706,118.781204,学校
新模范马路5号国家大学科技园B座610楼,亚洲城市大学南京教学中心,32.076991,118.778747,学校
湖南路街道云南北路青云巷9号,青云巷小学,32.06617,118.78102,学校
后大树根40号,南京市科利华中学,32.078536,118.785454,学校
百子亭34号,凤凰新华管理学院,32.067148,118.785508,学校
丁家桥87号东南大学丁家桥校区,东南大学丁家桥校区医学院外科实验中心,32.074784,118.776974,学校
新模范马路5号南京工业大学科技楼B座1112室,中国地质大学(江苏省学习中心),32.076676,118.777755,学校
中央路264号海之声助听器二楼,海之声听力学院,32.080198,118.784374,学校
新模范马路22号审美发型设计,南京工业大学,32.073389,118.777863,学校
湖南路丁家桥87号,东南大学丁家桥校区,32.074858,118.776028,学校
昆仑路43号,南京玄武外国语学校附属小学,32.065104,118.788207,学校
童家巷38-40号附近,中国医科大学计划采控中心,32.071722,118.778235,学校
中央路52号,中央路小学,32.065323,118.784512,学校
云南北路74号,南京市拉萨路小学六年级教学区,32.068121,118.779959,学校
丁家桥32-18临附近,安全工程小2楼,32.075447,118.777082,学校
新模范马路5号南京工业大学科技创新大楼B座1614室,热舒夫信息技术与管理大学(南京教学中心),32.076494,118.777912,学校
云南北路与湖北路交叉口东南50米,四川农业大学南京学习中心,32.065440,118.779052,学校
司背后街10号,南京市第五十中学,32.075151,118.772317,学校
新模范马路5号,南京工业大学丁家桥校区,32.07871,118.775555,学校
厚德路与学子路交叉口北50米,东南大学老干部处丁家桥校区办公室,32.075706,118.776466,学校
马台街龙仓巷5号,南京市马台街小学,32.07403,118.772025,学校
西家大塘14号,南京市第十三中学(西家大塘),32.063749,118.791647,学校
新模范马路5号南京工业大学丁家桥校区国家创新大楼B座609室,文府考研工业大学驻点办事处,32.076585,118.777573,学校
台城路39号附近,T台之星童星艺术学院,32.065373,118.789603,学校
工人新村50号,鼓楼开放大学,32.079714,118.778966,学校
北京东路30号(南京人才大厦对面),南京外国语学校(北京东路),32.056271,118.801346,学校
马台街137-3临时尚空间7楼,花艺学院,32.072721,118.772161,学校
