地址,名称,维度,经度,类型
中山路321号,南京大学医学院附属鼓楼医院,32.056219,118.783048,医院
珠江路318号,南京市玄武区惠民医院,32.048827,118.793018,医院
成贤街82号,东南大学医院,32.051944,118.795962,医院
成贤街116号(近东南大学),南京市中心医院,32.055664,118.796611,医院
杨将军巷,玄武医院,32.046221,118.792462,医院
广州路72号,南京市儿童医院,32.05079,118.779344,医院
中央路30号,南京市口腔医院,32.061551,118.784724,医院
广州路300号,江苏省人民医院,32.049185,118.766485,医院
杨将军巷21号,玄武区新街口社区卫生服务中心,32.046293,118.792880,医院
珠江路口同仁街42号,玄武区同仁街社区卫生服务中心,32.051212,118.785703,医院
珠江路318号,玄武区兰园社区卫生服务中心,32.048853,118.793196,医院
珠江路318号,玄武区中医院,32.048843,118.793269,医院
湖南路街道汉口路22号,南京大学社区卫生服务中心,32.053669,118.782195,医院
汉中路155号,江苏省中医院,32.040929,118.773663,医院
汉口路22号南京大学鼓楼校区,南京大学鼓楼校区南京大学医院,32.053625,118.782118,医院
常府街三十四标34号,八一医院,32.034718,118.794692,医院
长乐路68号,南京市第一医院,32.01711,118.784304,医院
管家桥63号,华侨路社区医院,32.044342,118.782274,医院
莫愁路天妃巷123号,南京市妇幼保健院,32.040086,118.776822,医院
丁家桥87号,东南大学附属中大医院,32.072321,118.776241,医院
玄武门街道天山路10号,玄武区天山路社区卫生服务站,32.063037,118.789188,医院
钟阜路1-1号,南京市第二医院,32.088851,118.768094,医院
广州路39-9号附近,南京大学医学院教学医院,32.050487,118.779708,医院
成贤街116号(近东南大学),南京市市级机关医院,32.055919,118.796406,医院
莫愁路394号,建中中医院,32.039719,118.775642,医院
龙蟠中路46号,南京军区机关医院,32.050724,118.807907,医院
长白街642号,长白街社区卫生服务站,32.039396,118.798816,医院
汉中路278号,江苏交通医院,32.043796,118.769774,医院
天山路12附近,天山社区卫生服务中心,32.063080,118.789143,医院
峨嵋岭与汉中路交叉口西北200米,南京中医药大学附属医院,32.041021,118.773991,医院
汉中路129-9号临(健康职业学院隔壁),金陵中西医结合医院,32.041975,118.777850,医院
汉口西路28号,鼓楼区宁海路社区卫生服务中心,32.054881,118.772777,医院
孝陵卫街179号(近中山门大街),南京市中西医结合医院,32.034308,118.85786,医院
南苑街道南湖路23号,江苏省第二中医院,32.022586,118.755268,医院
程阁老巷20号淮海路社区卫生服务中心内,秦淮区淮海路社区卫生服务中心,32.034829,118.785146,医院
十字街100号,江苏省中西医结合医院,32.099502,118.810936,医院
朝天宫街道丰富路27号,南京市白下医院,32.033275,118.779189,医院
永庆村16号,江苏省人民医院南京医科大学第一附属医院,32.045689,118.773859,医院
龙蟠中路221-2号,南京金城医院,32.034996,118.802601,医院
江苏路65号,江苏省省级机关医院,32.065909,118.767778,医院
莫愁路394号建中中医院,秦淮区止马营社区卫生服务中心,32.039674,118.775490,医院
汉中路136号,南京医科大学附属口腔医院,32.042899,118.775913,医院
汉中路157号,南京中医药大学第一临床医学院,32.042150,118.774628,医院
西康路1号河海大学鼓楼校区,河海大学医院,32.053115,118.757568,医院
姜家园121号,南京医科大学第二附属医院(姜家园),32.080848,118.745237,医院
尧佳路28号,南京市栖霞区医院,32.117676,118.88078,医院
孝陵卫街200号南京理工大学551幢,南京理工大学医院,32.030821,118.851470,医院
胜旗街与涌泉北路交叉口东北角涌泉里2号,鼓楼区凤凰社区卫生服务中心,32.040053,118.759183,医院
后宰门街50号-1号,玄武区后宰门社区卫生服务中心,32.046871,118.818912,医院
俞家巷13号附近,南京三清堂医院,32.038396,118.780249,医院
河西大街71号,明基医院,31.988107,118.730117,医院
孝陵卫街道灵谷寺路8号南京体育学院(南门),南京体育学院运动康复医院,32.040609,118.867979,医院
建宁路200号(阅江楼旁),第二军医大学长征医院(南京分院),32.092493,118.749565,医院
山阴路与汉口西路交叉口南150米,南京师范大学随园校区医院(汉口西路),32.053852,118.766207,医院
中华路512号,秦淮中医院,32.015593,118.78216,医院
模范中路4号,南京市鼓楼区中医院,32.074315,118.765678,医院
幕府西路118号(近象山养老院),南京仁康医院,32.101071,118.766291,医院
中山北路262,南京医科大学第二附属医院东院儿童医院,32.083385,118.756347,医院
内环东线221-3附近,南京市基本医疗保险定点医院,32.034938,118.802698,医院
浦园路18号,南京市浦口医院,32.104945,118.719956,医院
清溪路4号3幢,熊猫集团医院,32.043878,118.823228,医院
双塘街道集庆路233号,集庆门医院,32.017943,118.769295,医院
富贵巷18号,南京半山医院,32.049368,118.821884,医院
鼓山路168号,南京市江宁医院(鼓山路),31.950715,118.849144,医院
凤栖苑131号,建邺区滨湖社区卫生服务中心(集庆门大街),32.030262,118.744576,医院
南湖路7号,建邺区南湖社区卫生服务中心,32.026372,118.75612,医院
定准门3号,第十四所医院,32.069325,118.750393,医院
夫子庙街道长乐路41号,南京中草医院,32.017711,118.787008,医院
丰富路27号,朝天宫社区卫生服务中心,32.033260,118.779213,医院
中央路397-3号先锋广场旁,南京京科医院,32.085924,118.783345,医院
苜蓿园东街1号,二十八所职工医院,32.035605,118.836048,医院
蒋王庙街12号,中国医学科学院皮肤病医院,32.081067,118.827397,医院
建宁路297号(大观天地MALL对面),南京建宁康复医院,32.09041,118.746301,医院
上坊镇东陵路50号,江宁区第二人民医院,31.962705,118.886824,医院
太新路57号,太新医院,32.142409,118.837681,医院
锁金村63号,玄武区锁金村社区卫生服务中心,32.070813,118.817722,医院
洪武路街道王府园与王府园路交叉口东100米,王府园社区卫生服务站,32.026702,118.787454,医院
红花村2号,国营第五二八厂职工医院,32.010661,118.801489,医院
长乐路41号,秦淮区夫子庙社区卫生服务中心,32.017499,118.786820,医院
苜蓿园大街230号,秦淮区月牙湖社区卫生服务中心,32.027595,118.831478,医院
长乐路41号,秦淮区夫子庙社区卫生服务中心,32.017499,118.786820,医院
苜蓿园大街230号,秦淮区月牙湖社区卫生服务中心,32.027595,118.831478,医院
孝陵卫路200号,玄武区孝陵卫社区卫生服务中心,32.035563,118.853575,医院
迈化路进取村151-37号,万寿医院,32.124997,118.843248,医院
建宁路243,建宁路社区卫生服务中心,32.093620,118.757218,医院
天印大道657号,南京市江宁中医院,31.965339,118.859058,医院
岗子村63号附近,锁金社区卫生服务中心康复部,32.064140,118.817921,医院
江东街道润江路1号,江东社区卫生服务中心,32.029834,118.730924,医院
雨花街道雨花路54号,秦淮区中华门社区卫生服务中心,32.010184,118.780742,医院
虎踞关60号附近,江苏省人民医院南京医科大学第一附属医院,32.049892,118.763968,医院
模范西路北50米,南京第十四研究所医院,32.069218,118.749816,医院
莫愁湖街道水西门大街199号,建邺区茶亭社区卫生服务站,32.033184,118.754377,医院
后宰门西村21号,南京烷基苯医院,32.048719,118.819983,医院
中山东路305号,东部战区总医院,32.041676,118.809133,医院
雨花西路113号,雨花社区卫生服务中心,32.000433,118.769459,医院
吉印大道2007号,南京同仁医院,31.896546,118.827144,医院
马群街169号钟山学院2号教学楼,江苏省人民医院钟山康复分院,32.043099,118.887577,医院
金盛路299号,南京市江宁医院天地新城分院,31.968969,118.826039,医院
卫岗1号,南京农业大学医院,32.033419,118.847274,医院
南湖路7号,南京市第二惠民医院,32.026577,118.756083,医院
苜蓿园大街29-10号,南京市中西医结合医院(卫桥口腔门诊部),32.036703,118.831355,医院
新模范马路3号,中大医院北院,32.077108,118.780197,医院
东苑路32号附近,玄武区孝陵卫社区卫生服务中心,32.025163,118.844590,医院
开发区交警中队后面,南京市江宁医院开发区分院,31.931536,118.80216,医院
小行路35号,南京小行医院,31.984302,118.745994,医院
中山东路305,南京大学医学院附属金陵医院,32.042265,118.809668,医院
御道街29号南京航空航天大学明故宫校区,南京航空航天大学医院,32.032611,118.817674,医院
中山南路321号现代大厦,秦淮区中华路社区卫生服务中心,32.025062,118.782770,医院
大油坊巷与钞库街交叉口东北50米,江苏省中医药特色社区卫生服务中心,32.017692,118.786815,医院
东井亭100号,紫金集团医院,32.099769,118.798338,医院
龙蟠中路500号,南京马应龙中医医院,32.017635,118.79874,医院
雨花街道雨花东路47号,南京金陵中西医结合医院总院,31.997828,118.786881,医院
南苑街道庐山路90号,建邺区南苑社区卫生服务中心,32.010984,118.737867,医院
光华路海福巷20号,石门坎社区卫生服务中心,32.018901,118.834478,医院
中山门大街石像路7号,中山陵园管理局职工医院,32.043377,118.840309,医院
健康巷9号,南京市六合区人民医院,32.343808,118.845671,医院
板仓街288号,玄武区玄武湖社区卫生服务中心,32.075678,118.827919,医院
胜太西路179号,南京航空航天大学医院(胜太西路),31.942472,118.786730,医院
燕子矶街道和燕路533号,南京朗盛医院,32.137766,118.819208,医院
龙眠大道109号,南京医科大学附属逸夫医院,31.932123,118.894578,医院
和燕路290号,南京卫生学校附属医院,32.102278,118.807630,医院
健民路211号,东南大学附属中大医院江北院区,32.220631,118.747577,医院
四方新村内,四方新村社区卫生服务站,32.017810,118.838546,医院
中华门外新建镇,南京梅山医院,31.896844,118.627164,医院
海福巷26号,江苏省示范城市社区卫生服务中心,32.018873,118.834489,医院
东山镇上元大街887号,五洲医院,31.958336,118.857845,医院
葛关路552号,东南大学医学院附属南京江北人民医院,32.235017,118.757635,医院
月安街,建邺区兴隆社区卫生服务中心,32.021513,118.734878,医院
乔虹苑87号,秦淮区秦虹社区卫生服务中心,32.015046,118.806378,医院
东山街道同夏路19号(东山总站),博爱医院(同夏路),31.957776,118.863071,医院
板仓街166附近,南京医科大学教学医院,32.075903,118.826008,医院
建宁路20号号,新光医院,32.092068,118.774185,医院
许家巷44号,秦淮医院,32.020863,118.782025,医院
福建路20号,南京市医保定点医院,32.083200,118.762834,医院
小行路35号,赛虹桥社区卫生服务中心,31.984227,118.745694,医院
大光路街道象房村小区51-2附近,象房村社区卫生服务站,32.018459,118.806509,医院
高桥门199号银龙花园157栋,银龙社区卫生服务中心,31.999248,118.850170,医院
幕府东路57号云谷山庄39幢,鼓楼区幕府山社区卫生服务中心,32.116085,118.786624,医院
火瓦巷1号附近,洪武社区卫生服务站,32.030998,118.788206,医院
和燕路63-19号附近,鼓楼区线路新村社区卫生服务站,32.095077,118.794809,医院
宝塔桥街道宝燕南路10号,鼓楼区宝塔桥社区卫生服务中心(宝燕南路),32.107319,118.765824,医院
解放路21号2楼,南京五十五研究所职工医院,32.037428,118.810739,医院
燕山路139号,南京市第一医院河西院区,32.020705,118.733508,医院
