地址,名称,维度,经度,类型
晨光路与江宁路交叉口南150米,土城头1号小区(晨光路),32.004164,118.791971,小区
养虎仓14号附近,养虎仓16号,32.001366,118.790886,小区
养虎仓24号附近,养虎仓19号,32.001131,118.790237,小区
中华门街道晨光路31号,雨花村,32.00215,118.792174,小区
养虎仓西100米,养虎仓31号,32.000782,118.790584,小区
应天大街388号晨光1865创意园C4栋玫瑰里28号,莫奈花园,32.006377,118.789950,小区
养虎仓1号1西南100米,养虎仓6号,32.000754,118.791320,小区
养虎仓西50米,养虎仓27号,32.000630,118.791055,小区
养虎仓西100米,养虎仓34号,32.000429,118.790447,小区
1865创意园E5幢(江宁路与应天大街交接处),南京御庭精品酒店(秦淮河店)(预付),32.006982,118.788843,小区
路子铺19号,金陵王榭,32.003111,118.79446,小区
土城头76号,金墙花苑,32.000456,118.793014,小区
土城头,双桥门,32.00603,118.793495,小区
普天路1号附近,开源三村,31.999596,118.791560,小区
晨光路108号,南城·美境,32.001381,118.793989,小区
中华门街道应天大街388号1865创意园B10栋,长江都市,32.007447,118.788065,小区
双桥门28号,双桥里,32.005879,118.793801,小区
中华门街道晨光路开源小区西南一门,开源二村,31.999850,118.792407,小区
路子铺15号附近,路子铺小区北区,32.003165,118.795042,小区
双桥门,路子铺小区,32.002272,118.795137,小区
洪家园晨光路35号,开源小区(普天路),31.999215,118.79263,小区
普天路,牛栏山巧脉岗绿福园,31.999016,118.792371,小区
晨光路35号附近,望您乐家园,31.999135,118.792848,小区
应天大街与正学路交叉口东南150米,梅花村,32.004981,118.783924,小区
应天大街与正学路交叉口南150米,雨花村社区活动室,32.004556,118.783757,小区
雨花东路18号,雨花街道雨花社区,31.999954,118.784754,小区
晨光路110号,居易时代,31.999814,118.794529,小区
江宁路,仁厚里小区,32.009013,118.791471,小区
雨花应天大街408号,丁村小区,32.006285,118.783727,小区
正学路1号(雨花东路和雨花路交界处),晨光巷小区,32.004611,118.782917,小区
江宁路3号,秦淮花园,32.008309,118.793584,小区
中华门街道江宁路,土城头开源小区,31.998586,118.793967,小区
边营100-1号附近,枫秦居(老虎头),32.009456,118.791451,小区
晨光巷,公正村,32.005159,118.78237,小区
江宁路5号甲附近,金陵荣城,32.009168,118.793228,小区
雨花东路55号(雨花风景区东大门对面),爱涛·逸珍公馆,31.997042,118.788511,小区
老虎头与边营交叉口西50米,边营86号,32.009941,118.790165,小区
老虎头3-3号附近,老虎头小区,32.009413,118.792777,小区
中华门外正学路1号,晨光公寓,32.007138,118.783187,小区
雨花东路57号,机电花园,31.996750,118.788987,小区
雨花东路养回红村139号,花雨南庭,31.996535,118.790472,小区
晨光大道与正学路交叉口东南150米,南宝塔根16号,32.007517,118.782637,小区
雨花路雨花东路15号,雨花东路15号大院,32.005324,118.781432,小区
剪子巷南外对面,转龙车小区,32.010603,118.791455,小区
江宁路13-1号,逸景园(江宁路),32.010039,118.794019,小区
三条营与箍桶巷交叉口东南50米,积善里,32.011242,118.789383,小区
龙蟠南路101号,蔚蓝星座,32.006465,118.798422,小区
永乐路洪家园1号万象都荟a公寓,万象都荟a公寓,31.998395,118.797138,小区
剪子巷114号,双塘园小区,32.011703,118.790023,小区
夫子庙街道马道街小心桥东街42号,南京市教育局老年教师公寓,32.011444,118.792732,小区
永乐路38号附近,洪家园37号,31.998975,118.798150,小区
江宁路22-24号,杏花苑,32.011332,118.793389,小区
双桥门宏光路8号,赞成领尚,32.004583,118.79974,小区
永乐路40号附近,洪家园38号,31.998673,118.798222,小区
剪子巷与江宁路交叉口南50米,江宁路小区,32.011460,118.794000,小区
三条营与箍桶巷交叉口西北150米,雨花路小区,32.005955,118.779725,小区
三条营70号附近,国社区,32.011958,118.786493,小区
永乐路36附近,洪家园42号,31.998666,118.798607,小区
剪子巷110号,剪子巷小区,32.012411,118.789574,小区
应天大街268-270号,仟居阁公寓,32.006016,118.79993,小区
宏光路1号,双桥新村,32.00312,118.80039,小区
永乐路32号附近,洪家园41号,31.998544,118.798723,小区
永乐路107号,海鲸公寓,31.99792,118.798456,小区
小心桥东街61号附近,银杏居,32.012257,118.793673,小区
大明西路与永乐路交叉口西南50米,洪家园107号,31.997953,118.798820,小区
马道街132号,马道街132号院,32.012766,118.792245,小区
永乐南路108号,龙翔雅苑,31.997523,118.798545,小区
龙蟠南路33号(龙蟠南路与秦虹路交汇处),南京雅居乐花园(秦虹路),32.009027,118.799006,小区
马道街88号,华静家园,32.013114,118.790423,小区
江宁路与马道街交叉口西南50米,三条营小区,32.012460,118.793940,小区
夫子庙江宁路,江宁路28号,32.012568,118.793862,小区
龙蟠南路33号,雅居乐花园小区,32.009139,118.799109,小区
剪子巷1345号,雅居乐山湖城,32.012706,118.785644,小区
马道街143号,马道街-143号院,32.013279,118.791917,小区
雨花西路3号,雨麓苑,32.003168,118.77769,小区
明匙路与永乐南路交叉口北150米,龙翔鸣翠苑,31.996089,118.798252,小区
中华门雨花路26号附近,聚宝园,32.010151,118.780358,小区
红花街道八十号,宁工洪家园春光里,31.998337,118.800543,小区
雨花街道雨花西路雨花西路11号,城南芳邻,32.004307,118.777092,小区
龙蟠南路33号,雅居乐花园小区,32.009139,118.799109,小区
剪子巷1345号,雅居乐山湖城,32.012706,118.785644,小区
东瓜匙路与明匙路交叉口北200米,龙翔鸣翠苑4号,31.996528,118.798092,小区
宏光路与育仁路交叉口南200米,双桥新村·东苑,32.002756,118.801463,小区
马道街143号,马道街-143号院,32.013279,118.791917,小区
