地址,名称,维度,经度,类型
乐山路,滨江公园,32.010502,118.718533,公园
江东中路339号河西大街,河西中央公园,31.995928,118.724427,公园
南湖东路14号,爷孙乐,32.027651,118.756146,公园
清凉山路83号(近广州路),清凉山公园,32.050117,118.760782,公园
集庆路265号,集庆门游园,32.019314,118.768950,公园
水西门大街132号莫愁湖,莫愁湖公园,32.036459,118.761005,公园
建邺路与绒庄街交叉口东南100米,建邺路滨河游园,32.02974,118.783148,公园
扬子江大道228号滨江公园内,万景园,32.034108,118.716598,公园
长虹路130号北,秦淮河房车露营公园,32.025714,118.767291,公园
安德门大街6号(近花神大道),菊花台公园,31.982067,118.757432,公园
广州路215号(省人民医院对面),乌龙潭公园,32.046112,118.766475,公园
内环东线辅路西100米,红旗桥滨河游园,32.016638,118.798078,公园
夫子庙街道江宁路2-1号雨花门城墙,东干长巷公园,32.010237,118.787134,公园
"龙蟠南路33号(龙蟠南路与秦虹路交汇处,秦淮区政府对面)",雅居乐公园,32.01058,118.798162,公园
长乐路236号,武定门公园,32.010417,118.795149,公园
夫子庙白鹭村1号,白鹭洲公园,32.017901,118.795089,公园
太平街35号,郑和公园,32.031462,118.794411,公园
小石坝街与琵琶街交叉口东北50米,太白遗址公园,32.020415,118.792371,公园
虎踞北路21号,古林公园,32.066877,118.753335,公园
胜景内,东水关遗址公园,32.023032,118.799338,公园
中山南路与钓鱼台交叉口东南150米,御钓园,32.015292,118.779818,公园
北京西路1-1号,鼓楼公园,32.058662,118.782043,公园
玄武巷1号,玄武湖公园,32.072073,118.787295,公园
瑞金路街道瑞阳街33号,明御河公园,32.028934,118.814879,公园
扬子江大道与江山大街交叉口西北200米,南京国际青年文化公园,31.991281,118.700937,公园
兴隆大街与扬子江大道交叉口西北100米,南京中国绿化博览园-健康主题公园,32.022578,118.713523,公园
扬子江大道888号,南京鱼嘴湿地公园,31.974255,118.666004,公园
江边路,下关火车主题公园,32.103393,118.743517,公园
友谊河路,南京七桥瓮生态湿地公园,32.006705,118.838136,公园
虎踞路51号,南京石头城遗址公园,32.049788,118.755571,公园
秦虹街道应天大街119号,康业里游园,32.005688,118.805404,公园
南京国防园(虎踞路西170米),南京地震公园,32.052259,118.754908,公园
双桥门30号,双桥门公园,32.006858,118.794359,公园
环湖路解放门8号,明城墙公园,32.069164,118.787783,公园
临江街3号,燕子矶公园,32.146832,118.817128,公园
虎踞路87号,石头城公园,32.050583,118.754754,公园
玉兰路与郁金香路交叉口西北150米,花神湖公园,31.986734,118.788750,公园
扬子江大道西100米,和园,31.998199,118.708582,公园
富春江东街301附近,河西CBD绿轴公园,31.998124,118.726049,公园
中山东路311-3号,南京明故宫遗址公园,32.041444,118.817957,公园
御道街27号(明故宫遗址),午朝门公园,32.038177,118.817598,公园
滨江大道附近,南京国际青年文化公园,32.002160,118.707630,公园
中山北路406号,小桃园,32.07866,118.7463,公园
龙蟠中路202号,西安门遗址公园,32.038938,118.805445,公园
紫荆花路9号,南京科技馆-湿地公园,31.985392,118.782171,公园
扬子江大道228号滨江公园南京中国绿化博览园内,南京滨江公园(扬子江大道),31.998253,118.706598,公园
后标营51号,月牙湖公园(八五一一研究所家属区东),32.031577,118.826869,公园
江堤路西200米,青奥森林公园,31.997403,118.698513,公园
北京东路43号,和平公园,32.057506,118.797177,公园
河西大街268号,青奥文化体育公园,31.998944,118.707759,公园
石象路7号中山陵园风景区外缘景区前湖片区,琵琶湖公园,32.054822,118.823061,公园
中山北路419号,八字山公园,32.085043,118.748295,公园
郁金香路22-21号,圣洁玉兰,31.985601,118.790028,公园
江浦街道江浦大道公园北路99号,南京浦口凤凰山公园,32.062332,118.622283,公园
龙蟠中路418号,东水关滨河小游园,32.020044,118.79923,公园
秋月路与黄泥塘路交叉口东北200,东山公园(戴家塘),31.955481,118.839137,公园
