地址,名称,维度,经度,类型
中山北路6号,绿地中心·紫峰购物广场,32.060631,118.783186,商场
紫峰大厦,购购广场,32.060588,118.782981,商场
北京东路1号,环亚凯瑟琳广场,32.058999,118.787626,商场
北京东路4号江苏省广播电视总台(江苏电视台)北广场(近鼓楼广场),荔枝广场,32.057488,118.786041,商场
珠江路88号(近丹凤街),新世界百货(南京店),32.049425,118.788291,商场
中山路286号,义和,32.054262,118.785440,商场
中山路251号-1新纪元大酒店1层,新纪元大酒店购物中心,32.053683,118.783523,商场
珠江路1号,金鹰国际购物中心(珠江路店),32.050864,118.784937,商场
北京东路31号南京工艺美术大楼,工艺美术大楼购物中心,32.058461,118.789581,商场
中山路286号,羲和商业广场,32.054375,118.785553,商场
湖南路街道湖北路51号(天狮娱乐会所对面),吾悦广场,32.06708,118.776623,商场
中山北路88号建伟大厦,中央商场(山西路店),32.067736,118.774728,商场
中山路226号,金鹰国际购物中心北馆,32.051268,118.784553,商场
新街口汉中路89号,金鹰国际购物中心(新街口店),32.041416,118.77981,商场
珠江路1号金鹰国际购物中心B2层,金鹰超市(珠江路店),32.050670,118.784560,商场
湖南路18号,苏宁环球购物中心,32.069522,118.777986,商场
中山北路107号,山西路百货大楼,32.06722,118.773654,商场
湖南路255-1号,湖南路商场,32.068531,118.774282,商场
中山南路122号,大洋百货(新街口店),32.039049,118.783441,商场
中山路100号,艾尚天地,32.046626,118.784816,商场
中山路18号,德基广场,32.044077,118.784902,商场
中山南路79号,中央商场(新街口商业步行区),32.038696,118.78532,商场
珠江路88号,新世界中心A座,32.049565,118.788714,商场
,马台街99号生活广场,32.071436,118.773818,商场
湖南路12号,宽润体育,32.069331,118.779813,商场
云南北路77号南泰大厦,南泰广场,32.066810,118.780261,商场
中山路与韩家巷交叉口东北100米,ist B座,32.047914,118.784605,商场
中山北路107-141号,山百大楼,32.067577,118.773757,商场
中山南路1号,南京新百,32.040801,118.785065,商场
中山北路281号虹桥新城市广场(近和会街),新城市·虹桥中心,32.076808,118.762538,商场
中山路与长江路交叉口东北100米,ist艾尚天地A座,32.046521,118.784698,商场
中央路201号,金茂汇,32.072786,118.783410,商场
中央路417号,先锋奥特莱斯商场,32.087535,118.783538,商场
新街口广场中山东路9号天时国际商贸中心,天时商贸中心,32.042008,118.785507,商场
红山路88号,常发广场(红山路),32.08569,118.810819,商场
管家桥九号,余斯达广场,32.042938,118.781719,商场
珠江路与进香河路交叉口西南100米,新世界潮流迷你MALL,32.049251,118.789038,商场
中山南路2号,东方福来德,32.040630,118.783741,商场
新街口街道长江路9号,金盛百货(长江路店),32.045232,118.790391,商场
汉中路89号,金鹰国际购物中心A座(新街口店),32.041782,118.780341,商场
洪武路50号,五星电器,32.038736,118.787220,商场
江东北路382号,金盛百货(南京龙江店),32.061913,118.740206,商场
太平南路1号,新世纪广场(科巷),32.040209,118.795226,商场
汉中门大街1号(近汉中门地铁站),金鹰特惠中心(汉中门店),32.040872,118.763651,商场
汉中路1号南京国际金融中心37层,三胞广场(中山东路店),32.040966,118.783094,商场
虹悦城德盈国际2栋1406,虹悦城,32.00952,118.765877,商场
汉中路8号,金轮新天地,32.04312419,118.7798842,商场
洪武路135号中山电子城淘淘巷,香港城时尚购物街,32.037558,118.788067,商场
建宁路8号,玉桥商业广场,32.091149,118.78106,商场
洪武路街道洪武路188号2楼,洪武商场,32.038431,118.787748,商场
龙蟠路1号(近中央门立交桥),南京商厦,32.091015,118.784904,商场
汉中路139号,环亚广场(汉中店),32.041340,118.776324,商场
夫子庙詹园路9号,奥特莱斯商场(瞻园店),32.019141,118.786701,商场
正洪街8号,南京时尚莱迪购物广场,32.039987,118.786623,商场
淮海路88号,苏宁生活广场(新街口店),32.036733,118.78679,商场
迈化路8号,万寿购物中心,32.123111,118.842655,商场
江东街道清江路99号,苏宁环球商贸城,32.043980,118.730122,商场
燕山路2号,月安生活广场,32.020598,118.732127,商场
和燕路395号,宇业.晓庄国际彩虹广场,32.118228,118.819894,商场
珠江路688号(近南京数码港),卓越·骇客天街,32.046752,118.803865,商场
江东中路98号,万达广场(建邺店),32.032945,118.736244,商场
淮海路50号,肯定广场,32.037242,118.785572,商场
大桥北路48号,大洋百货(弘阳广场店),32.138799,118.723738,商场
汉中路27号,友谊广场,32.041352,118.781909,商场
中央路201号,玄武湖金茂广场,32.073422,118.783877,商场
清凉门大街1号,环宇城,32.044684,118.75278,商场
草场门大街99号,新城市广场(草场门大街),32.055904,118.741184,商场
光华路147号,石林百货,32.017918,118.8521,商场
杨将军巷9号,曼度,32.045474,118.793996,商场
白路7-11号,新万里商场,32.029646,118.785257,商场
贡院西街68号(近夫子庙),新亚商场(贡院西街店),32.022280,118.788993,商场
润发路9号,南方时代广场,31.998075,118.879107,商场
草场门大街99号,新城市广场(江东北路),32.05526503,118.7410384,商场
华电路1号(近近地铁1号线终点站),万谷·慧生活PLAZA,32.101691,118.813694,商场
中山门大街297号孝陵卫钟鼎山庄西南,钟鼎名悦广场,32.036693,118.860264,商场
大光路142号(香格里拉小区对面),际华广场(大光路),32.026711,118.804036,商场
中山东路300号,六合人民广场,32.040424,118.797120,商场
张公桥与朝天宫西街交叉口南50米,艺华商业广场,32.036048,118.771687,商场
太平南路168号远洋国际中心,九宜城N91,32.035712,118.792769,商场
太平南路279号,太平商场(太平南路),32.0331,118.792742,商场
华电路1号(近近地铁1号线终点站),万谷·慧生活PLAZA,32.101691,118.813694,商场
中山门大街297号孝陵卫钟鼎山庄西南,钟鼎名悦广场,32.036693,118.860264,商场
大光路142号(香格里拉小区对面),际华广场(大光路),32.026711,118.804036,商场
张公桥与朝天宫西街交叉口南50米,艺华商业广场,32.036048,118.771687,商场
太平南路168号远洋国际中心,九宜城N91,32.035712,118.792769,商场
太平南路279号,太平商场(太平南路),32.0331,118.792742,商场
栖霞大道28号(近红太阳家居),金源百货市场,32.119169,118.838712,商场
集庆路123永丰大厦7层707室,江苏万和奥特莱斯购物公园(集庆路),32.018220,118.775138,商场
洪武路88号(近淮海路),印象汇(新街口店),32.038084,118.786696,商场
中华路与建康路交汇处,茂业天地,32.02233,118.7855,商场
中山东路300号-负2层东60米,CFC生活广场,32.039832,118.797248,商场
和燕路119号苏果超市旁,金盛百货(和燕路店),32.096027,118.797557,商场
永乐路洪家园1号万象都荟商业广场,万象都荟,31.998581,118.797104,商场
中山门大街9号,紫金生活广场,32.040492,118.834402,商场
汉中路2-1号,金陵饭店生活风尚馆,32.042232,118.782164,商场
双莲路油坊桥天迈广场4楼天迈广场4楼,富力城百货,31.966880,118.721230,商场
建康路3号,水平方,32.023554,118.787152,商场
汉中路1号南京国际金融中心,三胞国际广场,32.041227,118.784612,商场
汉中路与螺丝转湾交叉口东100米,金鹰国际购物中心B座(新街口店),32.041621,118.778642,商场
夫子庙詹园路9号,瞻园奥特莱斯商场,32.018703,118.786946,商场
热河南路50号附近,开江广场,32.088643,118.742681,商场
中山南路344号,紫晶环球生活广场(张府园店),32.030423,118.78347,商场
建宁路12号,金桥广场,32.091452,118.77875,商场
建宁路2号,金盛百货(南京中央门店),32.091234,118.783197,商场
友谊河路100号,品硕广场,32.020579,118.852974,商场
雨花路201号,雨花购物中心,32.005091,118.780158,商场
迈皋桥高家村42号3幢,高桥商场,32.102193,118.810262,商场
大桥北路48号,弘阳广场,32.137792,118.725917,商场
龙园西路23号,摩尔流行街区,32.055606,118.741974,商场
建宁路北100米,河图文化广场,32.09142,118.776759,商场
合班村375,金盛百货·迈皋桥广场A楼,32.112049,118.827656,商场
江东中路98号万达广场5层,万达百货(建邺店),32.032506,118.737606,商场
应天大街888号,金鹰世界,32.023313,118.740255,商场
江东中路118号,嘉勒彼广场,32.028048,118.738465,商场
淮海路树德坊临3号(60路公交车站处),爱琴海瑞丽量身定做,32.036853,118.790264,商场
和燕路280-2号,海能商场,32.101901,118.807143,商场
华电路1号,万谷·慧生活广场,32.101775,118.813522,商场
水西门大街159号(莫愁湖对面),五洋百货时尚广场,32.032057,118.757965,商场
中央路417号,先锋广场奥特莱斯骆驼,32.087684,118.783136,商场
玉兰路99号,明发商业广场,31.977626,118.797651,商场
白下中山南路中山南路79号中央商场5楼,金贸百货(金贸里),32.038731,118.786868,商场
新街口街道中山南路344号,紫金环球商场,32.030313,118.783708,商场
建康路1号,鹏欣·水游城,32.023772,118.785874,商场
竹山路68号,万达广场(江宁店),31.951616,118.843201,商场
江东北路319号,金盛郑和国际广场,32.060768,118.738645,商场
中山门大街699号,花园城,32.050562,118.894828,商场
幕府西路11-17号,星河广场,32.10759,118.774004,商场
江东北路88号,苏宁广场,32.044635,118.74049,商场
和燕路16号二楼水果店和燕路16号二楼水果店,南京衡益商业中心,32.094522,118.789818,商场
所街169号,乐基广场,32.023826,118.743607,商场
江东中路329号,金奥国际购物中心,31.999015,118.725581,商场
百润路附近,天悦城(浦口店),32.151679,118.733695,商场
建宁路8号,玉桥美博城,32.092447,118.780749,商场
江东北路319号,金盛摩尔街区,32.060976,118.738862,商场
楠溪江东街81号,缤润汇,31.99325,118.729657,商场
建宁路300号,大观·天地,32.092968,118.743547,商场
长乐路132号,五星电器(长乐路店),32.015880,118.790070,商场
合班村375号,金盛国际家居迈皋桥广场,32.112061,118.827671,商场
江东北路319号金盛郑和国际广场,华彩荟(南京店),32.061467,118.738751,商场
水西门大街159号(莫愁湖对面),五洋百货,32.031943,118.757599,商场
滨江大道1号明发滨江新城,明发外滩广场,32.131158,118.742713,商场
大桥北路58号,印象汇,32.140459,118.722304,商场
水西门大街2号,银都·锦创广场,32.030353,118.771414,商场
中山东路18号,新街口国贸中心,32.040464,118.784983,商场
江东中路237号,中央商场(河西店),32.007300,118.731915,商场
安怀东路,新都荟,32.100193,118.798374,商场
龙蟠中路118号山水大酒店,山水大酒店-购物中心,32.044340,118.805880,商场
天华南路与柳洲东路交叉口东北150米,苏宁环球天润广场,32.143525,118.724299,商场
文德路7号金浦购物中心,金浦购物中心,32.058938,118.628999,商场
学海路1号金鹰国际购物中心,金鹰国际购物中心(奥莱城C馆),32.102480,118.927005,商场
华电路1号万谷·慧生活广场F2层2F-106丨107丨108,SanFu(万谷·慧生活广场),32.102016,118.813896,商场
建康路106-6号,依迪,32.022721,118.788925,商场
大桥北路24号金盛国际家居F1-F4层,太平商场(桥北店),32.132958,118.730151,商场
楠溪江东街82号,缤纷汇购物广场,31.993266,118.729903,商场
,欧洲城·凯旋明珠商业广场,32.009396,118.735062,商场
软件大道3号,郁金香华联商厦,31.984665,118.798017,商场
卡子门大街99号,复地宴南都·活力广场,31.98179,118.803657,商场
中央北路河路道1号,喜年花生唐,32.097655,118.779514,商场
文苑路8号,东城汇,32.097537,118.909043,商场
幕府西路29号,仪之宝测绘商城,32.106730,118.772829,商场
