地址,名称,维度,经度,类型
,玄武门(地铁站),32.070381,118.784221,地铁站
,云南路(地铁站),32.059117,118.774679,地铁站
,鼓楼(地铁站),32.058667,118.783701,地铁站
,珠江路(地铁站),32.050974,118.784208,地铁站
,新模范马路(地铁站),32.079871,118.783714,地铁站
,鸡鸣寺(地铁站),32.057266,118.798082,地铁站
,草场门·南艺·二师(地铁站),32.060351,118.755539,地铁站
,浮桥(地铁站),32.048660,118.796107,地铁站
,上海路(地铁站),32.042270,118.776444,地铁站
,新街口(地铁站),32.041806,118.784136,地铁站
,九华山(地铁站),32.057314,118.806000,地铁站
,汉中门(地铁站),32.042784,118.766962,地铁站
,大行宫(地铁站),32.041737,118.794787,地铁站
,南京站(地铁站),32.089322,118.796509,地铁站
,南京林业大学·新庄(地铁站),32.076463,118.810435,地铁站
,小市(地铁站),32.094998,118.785737,地铁站
,岗子村(地铁站),32.065571,118.815835,地铁站
,莫愁湖(地铁站),32.037306,118.758964,地铁站
,常府街(地铁站),32.033401,118.792317,地铁站
,西安门(地铁站),32.040108,118.805761,地铁站
,张府园(地铁站),32.030963,118.783932,地铁站
,龙江(地铁站),32.057926,118.738050,地铁站
,红山动物园(地铁站),32.095774,118.802053,地铁站
,云锦路(地铁站),32.034912,118.747323,地铁站
,三山街(地铁站),32.023021,118.781583,地铁站
,夫子庙(地铁站),32.024119,118.790911,地铁站
,明故宫(地铁站),32.039218,118.819746,地铁站
,五塘广场(地铁站),32.110501,118.777686,地铁站
,迈皋桥(地铁站),32.102712,118.809677,地铁站
,蒋王庙(地铁站),32.077536,118.831148,地铁站
,集庆门大街(地铁站),32.028573,118.739580,地铁站
,上元门(地铁站),32.115477,118.769936,地铁站
,武定门(地铁站),32.013747,118.794632,地铁站
,苜蓿园(地铁站),32.040239,118.835310,地铁站
,王家湾(地铁站),32.085238,118.837855,地铁站
,中华门(地铁站),32.006748,118.774447,地铁站
,兴隆大街(地铁站),32.015283,118.735943,地铁站
,雨花门(地铁站),32.003779,118.792454,地铁站
,下马坊(地铁站),32.037578,118.848373,地铁站
,绿博园(地铁站),32.024161,118.716735,地铁站
,梦都大街(地铁站),32.015473,118.721781,地铁站
,卡子门(地铁站),31.995041,118.795514,地铁站
,江心洲(地铁站),32.031632,118.703335,地铁站
,孝陵卫(地铁站),32.035416,118.858058,地铁站
,奥体东(地铁站),32.004581,118.729234,地铁站
,安德门(地铁站),31.990862,118.762136,地铁站
,奥体中心(地铁站),32.009065,118.718286,地铁站
,聚宝山(地铁站),32.093858,118.864212,地铁站
,柳洲东路(地铁站),32.139965,118.746237,地铁站
,大明路(地铁站),31.986114,118.799624,地铁站
,钟灵街(地铁站),32.039146,118.869395,地铁站
,元通(地铁站),31.995471,118.721449,地铁站
,中胜(地铁站),31.987911,118.733170,地铁站
,天隆寺(地铁站),31.979272,118.763131,地铁站
,花神庙(地铁站),31.977795,118.785648,地铁站
,小行(地铁站),31.982464,118.744681,地铁站
,软件大道(地铁站),31.976727,118.774583,地铁站
,明发广场(地铁站),31.977050,118.800512,地铁站
,天润城(地铁站),32.150854,118.734078,地铁站
,雨润大街(地铁站),31.983679,118.722613,地铁站
,南京南站(地铁站),31.970968,118.796786,地铁站
,泰山新村(地铁站),32.144521,118.716045,地铁站
,徐庄·苏宁总部(地铁站),32.084861,118.889679,地铁站
,临江(地铁站),32.057186,118.665528,地铁站
,马群(地铁站),32.049556,118.894656,地铁站
,铁心桥(地铁站),31.964416,118.763796,地铁站
,泰冯路(地铁站),32.153441,118.718931,地铁站
,景明佳园(地铁站),31.962302,118.778690,地铁站
,浦口万汇城(地铁站),32.061689,118.657082,地铁站
,春江路(地铁站),31.962385,118.748257,地铁站
,双龙大道(地铁站),31.963833,118.817196,地铁站
,永初路(地铁站),31.974264,118.712185,地铁站
,金马路(地铁站),32.071699,118.906348,地铁站
,宏运大道(地铁站),31.959019,118.804067,地铁站
,仙鹤门(地铁站),32.084911,118.904914,地铁站
,百水桥(地铁站),32.051216,118.906056,地铁站
,平良大街(地铁站),31.977846,118.702693,地铁站
,东大成贤学院(地铁站),32.156266,118.707888,地铁站
,油坊桥(地铁站),31.966454,118.721361,地铁站
,南京工业大学(地铁站),32.066794,118.648245,地铁站
,贾西(地铁站),31.959242,118.734119,地铁站
,吴侯街(地铁站),31.975480,118.693035,地铁站
,星火路(地铁站),32.157273,118.696577,地铁站
,河定桥(地铁站),31.952092,118.820141,地铁站
,学则路(地铁站),32.091280,118.916778,地铁站
,龙华路(地铁站),32.064712,118.635204,地铁站
,翠屏山(地铁站),31.942530,118.784514,地铁站
,高新开发区(地铁站),32.177538,118.719487,地铁站
,高庙路(地铁站),31.968334,118.688338,地铁站
,胜太西路(地铁站),31.943772,118.807434,地铁站
,麒麟门(地铁站),32.053280,118.926910,地铁站
,胜太路(地铁站),31.943549,118.821393,地铁站
,文德路(地铁站),32.057396,118.626645,地铁站
,汇通路(地铁站),32.078018,118.931631,地铁站
,仙林中心(地铁站),32.098663,118.930412,地铁站
,林场(地铁站),32.163563,118.671334,地铁站
,百家湖(地铁站),31.931941,118.820843,地铁站
,天元西路(地铁站),31.927697,118.808591,地铁站
,灵山(地铁站),32.077698,118.943672,地铁站
,雨山路(地铁站),32.044496,118.615125,地铁站
,天保(地铁站),31.953164,118.677410,地铁站
,羊山公园(地铁站),32.103800,118.939971,地铁站
,小龙湾(地铁站),31.929735,118.832734,地铁站
,竹山路(地铁站),31.931965,118.844454,地铁站
,信息工程大学(地铁站),32.202394,118.726862,地铁站
,天印大道(地铁站),31.937638,118.863561,地铁站
,龙眠大道(地铁站),31.939902,118.877156,地铁站
,东郊小镇(地铁站),32.051885,118.956334,地铁站
